stateName,cityName,newHomeName,developerName,developerAddress,developerPhone,developerWebsite,unitName,unitStyle,br,ba,sqft,price,pps
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Radford Elev. A,Detached Two+ Story,4,2,2181,null,0
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 28,Detached Two+ Story,4,2,2181,1509990,692
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Brentwood Elev. B,Detached Two+ Story,4,2,2456,null,0
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 15,Detached Two+ Story,4,2,2456,1659990,676
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Huntington Elev. A,Detached Two+ Story,4,3,2516,null,0
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 8,Detached Two+ Story,4,3,2516,1759990,700
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Ridgeway Elev. A,Detached Two+ Story,4,3,2573,null,0
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 5,Detached Two+ Story,4,3,2573,1747990,679
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 9,Detached Two+ Story,4,3,2573,1772990,689
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Ridgeway Elev. B,Detached Two+ Story,4,3,2583,null,0
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,Lot 11,Detached Two+ Story,4,3,2583,1799990,697
Ontario,Ajax,Eagle Glen,John Boddy Homes,"146 Sharplin Drive, Ajax, Ontario, L1Z 0P2, Canada",905-619-1777,http://www.johnboddyhomes.com/,The Dorset Elev. B,Detached Two+ Story,4,3,2691,null,0
