stateName,cityName,newHomeName,developerName,developerAddress,developerPhone,developerWebsite,unitName,unitStyle,br,ba,sqft,price,pps
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Clayton,Detached Bungalow,4,2,2107,346900,165
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,1083 WOOD DUCK WAY,Detached Bungalow,4,2,2107,355490,169
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Carroll,Detached Two+ Story,4,2,2175,356900,164
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Elbert,Detached Two+ Story,4,2,2414,364900,151
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,1080 WOOD DUCK WAY,Detached Two+ Story,4,2,2414,380290,158
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Jordan,Detached Two+ Story,4,3,2914,415900,143
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,1076 WOOD DUCK WAY,Detached Two+ Story,4,3,2914,425385,146
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Embry,Detached Two+ Story,4,2,2945,415900,141
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,1079 WOOD DUCK WAY,Detached Two+ Story,4,2,2945,415900,141
Alabama,Alabaster,Mallard Landing,D.R. Horton,"1341 Horton Circle, Arlington, Texas, 76011, United States",817-390-8200,http://www.drhorton.com/,Madison,Detached Two+ Story,5,4,2703,407900,151
Alabama,Albertville,Red Oak,Century CommunitiesCentury Complete,"8390 East Crescent Parkway, 650, Englewood, Colorado, 80111, United States",833-791-0192,https://www.centurycommunities.com/,260 Grande Dr,Detached Two+ Story,3,2,1416,202990,143
Alabama,Albertville,Red Oak,Century CommunitiesCentury Complete,"8390 East Crescent Parkway, 650, Englewood, Colorado, 80111, United States",833-791-0192,https://www.centurycommunities.com/,222 Grande Dr,Detached Two+ Story,4,2,1684,215990,128
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,The Asheville C,Detached Bungalow,3,2,1470,249900,170
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,The Franklin C,Detached Bungalow,3,2,1620,269900,167
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,27497 Mckenna Drive,Detached Two+ Story,3,2,1620,285970,177
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,27411 Mckenna Drive,Detached Two+ Story,3,2,1620,283816,175
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,27424 Mckenna Drive,Detached Two+ Story,3,2,1620,294900,182
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,The Shelby A,Detached Two+ Story,3,2,2452,334900,137
Alabama,Athens,Mallard Landing,Davidson Homes,"336 James Record Road Southwest, Huntsville, Alabama, 35824, United States",877-999-2009,http://davidsonhomesllc.com/,The Daphne C,Detached Bungalow,4,2,1964,284900,145
